City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Turtas,RU,58.9417,69.1325,54.34,68,100,6.04,overcast clouds
309,Pokosnoye,RU,55.5258,101.0536,42.53,89,94,5.19,overcast clouds
310,Shenjiamen,CN,29.9576,122.298,64.65,92,100,16.26,light rain
311,Si Sa Ket,TH,14.8333,104.3333,77.86,85,100,3.49,overcast clouds
312,Porto Novo,BJ,6.4965,2.6036,80.11,77,89,4.94,overcast clouds
313,Leningradskiy,RU,69.3833,178.4167,31.57,87,69,0.56,broken clouds
314,Sorland,NO,67.667,12.6934,43.43,70,100,13.51,overcast clouds
315,Wapi Pathum,TH,15.8452,103.3768,86.32,62,71,8.23,moderate rain
316,Kichera,RU,55.9375,110.0997,40.86,58,74,3.69,broken clouds
317,Ivybridge,GB,50.3904,-3.9191,49.82,90,89,15.08,overcast clouds
318,Kjollefjord,NO,70.9457,27.3465,35.87,60,38,4.81,scattered clouds
319,Monrovia,LR,6.3005,-10.7969,81.28,80,52,6.82,broken clouds
320,Pauini,BR,-7.7136,-66.9764,77.29,95,68,2.08,broken clouds
321,Bambous Virieux,MU,-20.3428,57.7575,69.22,78,72,12.28,light rain
322,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,66.63,29,98,4.29,overcast clouds
323,Hovd,MN,48.0056,91.6419,49.78,52,0,2.64,clear sky
324,Takoradi,GH,4.8845,-1.7554,79.93,87,54,5.14,broken clouds
325,Binika,IN,21.0333,83.8,87.66,28,100,5.7,overcast clouds
326,Mufulira,ZM,-12.5498,28.2407,53.51,58,10,6.38,clear sky
327,Karratha,AU,-20.7377,116.8463,72.52,57,86,11.86,overcast clouds
328,Amol,IR,36.4696,52.3507,73.0,65,100,6.67,overcast clouds
329,Asau,RO,46.4333,26.4,58.28,93,70,6.24,broken clouds
330,Abalak,RU,58.1286,68.5944,56.39,75,98,5.64,overcast clouds
331,Lata,PT,40.1629,-8.3327,58.82,89,19,1.1,few clouds
332,Urumqi,CN,43.801,87.6005,59.95,38,0,0.85,clear sky
333,San-Pedro,CI,4.7485,-6.6363,80.71,87,11,5.39,few clouds
334,Aguilas,ES,37.4063,-1.5829,61.2,72,87,5.23,overcast clouds
335,Parana,AR,-31.732,-60.5238,57.54,73,28,7.31,scattered clouds
336,Nanga Eboko,CM,4.6833,12.3667,71.87,88,71,2.04,broken clouds
337,Santa Cruz,BO,-17.8,-63.1667,66.2,34,100,9.08,overcast clouds
338,Mao,ES,39.8885,4.2658,57.76,94,0,12.66,clear sky
339,Jumla,NP,29.2747,82.1838,52.2,91,1,3.09,clear sky
340,Jalu,LY,29.0331,21.5482,77.38,15,0,7.61,clear sky
341,Skoghall,SE,59.3232,13.4655,48.76,95,90,11.41,overcast clouds
