City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
320,Pauini,BR,77.29,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
324,Takoradi,GH,79.93,broken clouds,4.8845,-1.7554,Raybow International Hotel
333,San-Pedro,CI,80.71,few clouds,4.7485,-6.6363,Hotel Maria
340,Jalu,LY,77.38,clear sky,29.0331,21.5482,صاحبة الفخامة
342,Pita,GN,82.49,broken clouds,10.8333,-12.5833,
355,Puerto Princesa,PH,78.57,few clouds,9.7392,118.7353,Deep Forest Garden Inn
356,Miraflores,MX,79.56,broken clouds,19.2167,-98.8083,Hotel Mansión
362,Korhogo,CI,79.16,overcast clouds,9.45,-5.6333,Hôtel Tchinbota
363,Rohnert Park,US,84.11,clear sky,38.3396,-122.7011,DoubleTree by Hilton Hotel Sonoma Wine Country
365,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
375,Lamu,KE,78.84,few clouds,-2.2717,40.902,Lamu House
380,Kloulklubed,PW,77.5,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
384,Bubaque,GW,78.84,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
397,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
406,Norfolk,US,78.08,broken clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
410,Tura,IN,78.55,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
412,Santa Rosalia,MX,77.04,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
414,Langsa,ID,75.02,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
415,Dergachi,RU,77.41,clear sky,51.2328,48.7659,
421,Rosarito,MX,79.63,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
428,Elat,IL,75.04,clear sky,29.5581,34.9482,Club Hotel Eilat
429,Kaka,TM,76.51,clear sky,37.3482,59.6143,
430,Bembereke,BJ,80.42,broken clouds,10.2283,2.6634,Hotel Bio Guera
432,Kendari,ID,75.09,overcast clouds,-3.945,122.4989,Hotel Wixel
433,Luanda,AO,78.8,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
434,Paka,MY,77.61,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
437,Mbini,GQ,79.05,overcast clouds,1.574,9.6134,
438,Labuan,MY,77.16,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
439,Sokoni,TZ,79.11,light rain,-6.4333,39.55,Ujamaa Beach Resort
443,Kirakira,SB,76.71,overcast clouds,-10.4544,161.9205,SanBiz Lodge
444,Bireun,ID,77.34,overcast clouds,5.202999999999999,96.7009,Rumah Bp.AR. ISMAIL
445,Teahupoo,PF,80.56,broken clouds,-17.8333,-149.2667,Vanira Lodge
449,Vizianagaram,IN,83.71,overcast clouds,18.1167,83.4167,Anupriya Residency
450,Matadi,CD,75.81,scattered clouds,-5.8167,13.45,Hotel Vivi Palace
451,Pedernales,DO,84.45,few clouds,18.0384,-71.744,Hotel Costa Marina
454,Gigmoto,PH,81.16,few clouds,13.7796,124.39,Cj's Travellers Inn
